날짜,뉴스제목
2022.1.3,"""삼성전자에 독점계약 갑질""...공정위, 美 '브로드컴' 제재 착수"
2022.1.3,메모리서 번 돈 70% 파운드리 재투자… TSMC 추격 고삐 죈다 [삼성전자 반도...
2022.1.3,흥행 ‘날개’ 단 폴더블폰.. 삼성폰 매출 100조 회복 [삼성전자 반도체 세계 ...
2022.1.3,"'글로벌 1위' 꿰찬 삼성전자 반도체, 인재 쟁탈전 나선다"
2022.1.3,"최대 실적 쓴 삼성전자 ""올해는 불확실성과의 전쟁"""
2022.1.3,"삼성전자, 보통주 한 주당 361원 현금배당…2.4조원 규모"
2022.1.3,"권칠승 장관, 삼성전자 화성캠퍼스 방문"
2022.1.3,"삼성전자 DS부문, 반도체 부문 경력직 채용"
2022.1.3,삼성전자 화성캠퍼스서 모두발언 하는 권칠승 장관
2022.1.3,"권칠승 장관, 삼성전자 화성캠퍼스 방문 기념촬영"
2022.1.3,"(영상)삼성전자 ""보수적 현금 운영 필요""..주주환원 강화 '아직'"
2022.1.3,삼성전자 내달 17일까지 반도체 부문 경력직 모집
2022.1.3,"'반도체 힘'…삼성전자, 올해 매출 300조원 넘본다(종합)"
2022.1.3,"삼성전자, 작년 반도체 매출 94조원…美인텔 제치고 1위"
2022.1.3,삼성전자 작년 매출 역대 최대…반도체 인텔 제치고 1위
2022.1.3,"""갤럭시가 효자네""… 삼성전자, '폴더블폰'으로 매출 100조대 재진입"
2022.1.3,"삼성전자, ‘폴더블폰 날개’ 달고 연매출 100조 회복(종합2보)"
2022.1.3,"'반도체 세계 1위' 올라선 삼성전자, DS 부문 경력직 채용"
2022.1.3,"삼성전자, 포터블 스크린 ‘더 프리스타일’ 출시…출고가 119만원"
2022.1.3,"인텔 제치고 반도체 매출 1위 올라선 삼성전자, 반도체 부문 경력직 채용"
2022.1.3,"[생생경제] ""삼성전자 작년 매출 사상 최대, 주가는 하락 外"""
2022.1.3,삼성전자 3년 만에 인텔 추월해 ‘반도체 1위’ 복귀
2022.1.3,반도체 1위 '기록' 쓴 삼성전자…매출 300조 돌파도 '눈앞'(종합2)
2022.1.3,"""또 사상 최대 실적"" 삼성전자, 주가는 여전히 '비실비실'… 왜?"
2022.1.3,'업계 1위 대우' 삼성전자 반도체 경력직 채용…인재 쟁탈 점화
2022.1.3,"'글로벌 반도체 1위' 삼성전자, 올해 연매출 300조 원 시대 연다"
2022.1.3,"'글로벌 반도체 1위' 삼성전자, 올해 연매출 300조 원 시대 연다"
2022.1.3,"삼성전자, 포터블 스크린 ‘더 프리스타일’ 국내 출시"
2022.1.3,'반도체 1위' 오른 삼성전자…올해 브랜드 가치 1073억달러
2022.1.3,"삼성전자, 5G 대중화로 기회 노려...""갤럭시 전 모델 강화"""
2022.1.3,"'매출 세계 1위' 달성한 삼성전자 반도체, 경력직 채용 나서"
2022.1.3,"'매출 신기록' 삼성전자, 초격차 전략으로 반도체 주도력 강화한다"
2022.1.3,"삼성전자, 올해도 최대 실적에 반도체 1위 동시 달성 기대(종합)"
2022.1.3,"삼성전자 “올해 반도체 투자계획, 부품 공급망 이슈 고려해 수립”"
2022.1.3,삼성전자 작년 매출 사상 최대…반도체도 1위 복귀
2022.1.3,"[컨콜] 삼성전자 ""공급망 이슈·시안 폐쇄로 무리한 메모리 판매 자제"""
2022.1.4,"삼성전자, 작년 반도체 매출 94조원"
2022.1.4,"삼성전자, 작년 반도체 매출 94조원…美 인텔 제치고 1위"
2022.1.4,"삼성전자, 작년 반도체 매출 94조원"
2022.1.4,"삼성전자, 작년 반도체 매출 美 인텔 제치고 1위"
2022.1.4,"삼성전자, 작년 반도체 매출 美 인텔 제치고 1위"
2022.1.4,"삼성전자, 작년 반도체 매출 94조원…美 인텔 제치고 1위"
2022.1.4,"삼성전자, 작년 반도체 매출 94조원…美 인텔 제치고 1위"
2022.1.4,"삼성전자, 작년 반도체 매출 美 인텔 제치고 1위"
2022.1.4,"[컨콜] 삼성전자 ""올해 부품 공급망 이슈 고려해 투자 집행"""
2022.1.4,"삼성전자, 작년 반도체 매출 94조원"
2022.1.4,"삼성전자, 지난해 매출 280조원으로 사상 최대 실적"
2022.1.4,사상 최대실적 달성한 삼성전자
2022.1.4,삼성전자 사상 최대 실적 달성
2022.1.4,최대 실적 올린 삼성전자
2022.1.4,사상 최대실적 달성한 삼성전자
2022.1.4,"삼성전자, 지난해 매출 280조원 사상 최대 실적"
2022.1.4,"삼성전자, 지난해 매출 280조원으로 사상 최대 실적"
2022.1.4,삼성전자 사상 최대 실적 달성
2022.1.4,지난해 매출 280조원으로 사상 최대 실적 올린 삼성전자
2022.1.4,사상 최대 실적 달성한 삼성전자
2022.1.4,지난해 사상 최대 실적 달성한 삼성전자
2022.1.4,"삼성전자, 지난해 매출 280조원으로 사상 최대 실적"
2022.1.4,"[컨콜 종합] 삼성전자 ""D램 가격 안정화…반등도 가능"""
2022.1.4,"[컨콜] 삼성전자 ""QD 수율, 연말이면 경쟁력 갖출 것"""
2022.1.4,[컨콜] 삼성전자 “파운드리 선단 공정 안정적 수율 계획보다 지연…점진적 개선 예...
2022.1.4,"[컨콜] 삼성전자 ""대외 불확실성 있지만 메모리 반도체 견조한 수요 기대”"
2022.1.4,"[컨콜] 삼성전자 ""생활가전, 재료비·물류비 증가 리스크 지속”"
2022.1.4,"[컨콜] 삼성전자 “QD디스플레이, 올 연말엔 수율 경쟁력 갖출 것”"
2022.1.4,"""특별보너스 줄 만했네""... 삼성전자 반도체, 작년 사상 최대 매출 견인"
2022.1.4,"삼성전자, 인텔 제치고 반도체 매출 1위"
2022.1.4,"권칠승 장관, 삼성전자 파운드리 방문…팹리스 상생협력 도모"
2022.1.4,"삼성전자, 작년 반도체 매출 94조…인텔 제치고 ‘세계 1위’"
2022.1.4,"[컨콜]삼성전자 ""보수적 현금운용 필요…주주환원 정책 큰 변화 어려워"""
2022.1.4,"삼성전자 찾은 권칠승 장관 ""팹리스-파운드리 기업간 협력 필요"""
2022.1.4,"'반도체 1위 탈환' 삼성전자, TSMC·인텔 반격카드 '머뭇'"
2022.1.4,"[컨콜] 삼성전자 ""5G 스마트폰 고속 성장…풀라인업 구축"""
2022.1.4,"[컨콜] 삼성전자 ""QD디스플레이, 연말께 수율 경쟁력 갖출 것"""
2022.1.4,"삼성전자 ""파운드리에 역량 집중…선단공정 조기수율 확보 추진"""
2022.1.4,"[특징주] 삼성전자, 사상 최대 실적에도 2%대 ↓"
2022.1.4,"[IR] 삼성전자 ""5세대 V낸드서 경쟁력 우위 확보 중"""
2022.1.4,"[컨콜]삼성전자 ""QD디스플레이 수율, 연말께 경쟁력 갖출 만큼 오를 것"""
2022.1.4,"삼성전자 ""QD디스플레이, 올 연말엔 수율 경쟁력 갖출 것"""
2022.1.4,"삼성전자 ""QD-D 연말께 수율 경쟁력 갖출 것…고객 반응 좋아"""
2022.1.4,"[컨콜] 삼성전자 ""D램 가격 반등, 가능한 시나리오"""
2022.1.4,"[컨콜] 삼성전자 ""올해 물류비 부담 지속…공급 경쟁력 높일 것"""
2022.1.4,삼성전자 반도체로 ‘역대 최대’ 매출…내년 전망은?
2022.1.4,"[컨콜]삼성전자 ""1Q 파운드리 공정 공급부족 예상…D램 개선 시그널 관측"""
2022.1.4,[컨콜] 삼성전자 “보수적 현금 운용필요…주주환원 정책 큰 변화 어려워”
2022.1.4,"삼성전자, 역대 최대 매출에도 1%대 하락…'7만 전자' 위태"
2022.1.4,"""QD디스플레이, 강점있는 제품..연말에 수율 오를 것"" -삼성전자 컨콜"
2022.1.4,삼성전자 매출 279조…사상최대 실적 썼다
2022.1.4,"삼성전자 ""올해도 서버·모바일 중심 메모리 수요 견조세 기대"""
2022.1.5,"[IR] 삼성전자 ""파운드리 첨단공정 기술 리더십 유지중"""
2022.1.5,"삼성전자 ""가전 원가 리스크 지속…선제적 대응할 것"""
2022.1.5,"삼성전자, 지난해 매출 '역대 최대'…반도체가 효자"
2022.1.5,"[IR] 삼성전자 ""QD 디스플레이, 연말에 수율 경쟁력 갖출 것"""
2022.1.5,"[IR] 삼성전자 ""D램가격 향후 반등 기대 커…서버·모바일 수요 견조 전망"""
2022.1.5,"[컨콜]삼성전자 ""공급망 이슈 고려, D램·낸드 무리한 판매확대 자제"""
2022.1.5,“메모리 싸이클 축소 확실히 감지..시장 안정화” -삼성전자 컨콜
2022.1.5,"[컨콜] 삼성전자 ""Z시리즈 판매 확대…폴더블폰 대세화 순항"""
2022.1.5,"[컨콜] 삼성전자 ""반도체 투자, 기존 기조 유지하되 지속 논의"""
2022.1.5,"[컨콜] 삼성전자 ""1분기 D램 비트그로스, 한 자릿수 초반 하락"""
2022.1.5,[그래픽] 삼성전자 사업부문별 실적
2022.1.5,"삼성전자 ""메모리 투자 기조 유지…글로벌 불확실성에 보수적 현금운영 필요"""
2022.1.5,[컨콜] 삼성전자 “지난해 4Q 스마트폰 7200만대 판매…ASP 30만3300원...
2022.1.5,삼성전자 매출 신기록 279조
2022.1.5,"[IR] 삼성전자 ""작년 4분기 글로벌 공급망 이슈로 메모리 반도체 출하량 예상보..."
2022.1.5,코로나19 여파에도 삼성전자 최대 매출 기록
2022.1.5,"삼성전자, 반도체·폴더블폰 호황에 최대 매출 기록"
2022.1.5,"[컨콜]삼성전자 “올해 반도체 투자, 불확실성 고려해 계획 수립”"
2022.1.5,"[컨콜]삼성전자 ""반도체 설비투자 계획 논의중…다양한 불확실성 있어"""
2022.1.5,삼성전자 영업이익 50조 돌파 '반도체가 절반 차지'
2022.1.5,삼성전자 매출 279조 신기록.. 효자는 단연 반도체
2022.1.5,"""작년 메모리 설비투자, 전년보다 증가"" -삼성전자 컨콜"
2022.1.5,[컨콜] 삼성전자 “올해도 원가 리스크 지속…시장변화 선도로 극복”
2022.1.5,삼성전자 매출 신기록 279조…영업익도 50조 돌파
2022.1.5,삼성전자 사상 최대 매출 배경엔…반도체·모바일이 ‘효자’
2022.1.5,"삼성전자 ""올해도 물류비 증가 리스크 지속…신모델로 매출 성장 가속화"""
2022.1.5,"[IR] 삼성전자 ""메모리 반도체 클린룸 수요대응 문제 없어"""
2022.1.5,"""작년 4분기 D램 빗그로스·ASP 한자릿수 중반 감소"" -삼성전자 컨콜"
2022.1.5,[컨콜] 삼성전자 “1Q D램 불확실성에도 서버·PC 중심 개선”
2022.1.5,"[IR] 삼성전자 ""작년 메모리 투자액, 전년比 증가…설비투자 비중 높아"""
2022.1.5,"삼성전자, 포터블 스크린 '더 프리스타일' 국내 출시"
2022.1.5,"[컨콜]삼성전자 ""4분기 스마트폰 7200만대 판매…1분기 단가 인상"""
2022.1.5,"삼성전자, 포터블 스크린 '더 프리스타일' 국내 출시"
2022.1.5,"삼성전자 ""지난해 4분기 가이던스 한자릿수 중반 감소"""
2022.1.5,"인텔 꺾은 삼성전자, 올해도 반도체·가전 부문 순항 예고"
2022.1.5,"삼성전자, 포터블 스크린 '더 프리스타일' 국내 공식 출시"
2022.1.5,"삼성전자, 포터블 스크린 `더 프리스타일` 국내 출시"
2022.1.5,"삼성전자, 2.4조원 규모 현금배당 결정…보통주 1주당 361원"
2022.1.5,"[컨콜] 삼성전자 ""4분기 휴대전화 7200만·태블릿 700만 대 팔려"""
2022.1.5,"[IR]삼성전자 ""작년 4분기 D램 빗그로스 ASP 한자릿수 중반 감소"""
2022.1.5,'사상 최대실적' 삼성전자…반도체 매출 94조로 인텔 제쳐 [종합]
2022.1.5,[컨콜] 삼성전자 “1Q 파운드리 전 공정 공급 부족 예상”
2022.1.5,"""1분기 D램 불확실성 있지만 서버·PC 위주 개선 전망"" -삼성전자 컨콜"
2022.1.5,"[IR] 삼성전자 ""QD 디스플레이, 긍정적 반응…리더십 확보 주력"""
2022.1.5,"[IR] 삼성전자 ""파운드리 1세대 GAA 공정 상반기 품질 검증 완료 예정"""
2022.1.5,"삼성전자, 포터블 스크린 ‘더 프리스타일’ 국내 출시"
2022.1.5,"[종합] 새 역사 쓴 삼성전자, 반도체 덕에 날았다…매출 '역대 최대'"
2022.1.5,"""올해 1분기, 파운드리 전 공정 부족 예상"" -삼성전자 컨콜"
2022.1.5,삼성전자 보통주 1주당 361원 배당 결정…2조4천억 원 규모
2022.1.5,"“기술 리더십에 사활” 삼성전자, 작년 시설투자 48.2조원…반도체만 43.6조원"
2022.1.5,"[IR] 삼성전자 ""D램 불확실성 1분기 있지만 개선 시그널 관측"""
2022.1.5,"[종목이슈] 삼성전자, 작년 사상최대 매출과 이익 반등…주가는?"
2022.1.5,삼성전자 보통주 1주당 361원 배당 결정…2조4천억원 규모
2022.1.5,"[IR] 삼성전자 ""작년 4분기 낸드플래시 수요 다소 정체"""
2022.1.5,"삼성전자, 작년 매출 279조6000억 사상 최대…반도체만 94조"
2022.1.5,"삼성전자, 호실적에도 1%대 하락…7.2만원대 '털썩'"
2022.1.5,"삼성전자, 인텔 제치고 반도체 세계 1위…초호황에 작년 최대 실적(종합)"
2022.1.5,"[IR] 삼성전자 ""작년 잉여현금흐름 19.5조원…조기 환원 어려워"""
2022.1.5,삼성전자 지난해 사상 최대 매출…반도체는 인텔 제치고 세계 1위 탈환
2022.1.5,"삼성전자, 보통주 1주당 361원 현금배당 결정"
2022.1.5,"삼성전자, 작년 반도체 94조 원 매출로 인텔 제치고 세계 1위 달성(종합)"
2022.1.5,'접는 폰' 대흥행…삼성전자 스마트폰 '매출 100조' 회복
2022.1.5,"삼성전자 ‘김’ 빠진 배당, 7만 전자도 위태"
2022.1.5,[삼성전자 실적] 디스플레이 작년 영업익 4.4조…2배 껑충
2022.1.5,[삼성전자 실적] 반도체 매출 94조…인텔 꺾고 세계 1위
2022.1.5,"""올해 진짜 300조 가겠네""…삼성전자 장사 잘했다, 창사 이래 최대 매출"
2022.1.5,반도체가 쓴 삼성전자 매출 신기록 279조…영업익도 50조 돌파(종합)
2022.1.5,"[IR] 삼성전자 ""작년 4분기 메모리 반도체 실적 전년 대비 대폭 개선"""
2022.1.5,"삼성전자, 지난해 반도체 매출 인텔 제치고 1위 올라"
2022.1.5,"삼성전자, 작년 반도체만 94조원 매출…인텔 제쳤다(상보)"
2022.1.5,역대급 기록 쓴 삼성전자…지난해 매출 279조·영업이익 51조
2022.1.5,"삼성전자, 4분기에도 `분기 최대매출`…연매출도 사상 최대"
2022.1.5,[표] 삼성전자 2012∼2021년 분기별 매출·영업이익
2022.1.5,"""반도체 끌고 가전·스마트폰 밀고""…삼성전자, 지난해 역대 최대 매출(종합)"
2022.1.5,"삼성전자, 작년 반도체 매출 94조원‥인텔 제치고 1위"
2022.1.5,"삼성전자, 작년 반도체 매출 94조원…美 인텔 제치고 1위(종합)"
2022.1.5,삼성전자 지난해 매출 279조원...사상 최대
2022.1.5,"삼성전자 작년 매출 최대…반도체, 인텔 제치고 1위 탈환"
2022.1.5,"[특징주] 러셀, 삼성전자, 현대차 로봇사업 투자… 폭발적 성장 소식에 강세"
2022.1.5,"[삼성전자 실적] 가전 매출, 프리미엄 제품 호조에 '분기 최대'"
2022.1.5,삼성전자 효자는 단연 반도체…작년 영업익 29.2조 '비중 절반 넘어'
2022.1.6,"삼성전자, 작년 반도체 94조 원 매출로 인텔 제치고 세계 1위 달성"
2022.1.6,"삼성전자, 2.4조원 현금배당…보통주 1주당 361원"
2022.1.6,"삼성전자, 지난해 시설투자 48조2000억…반도체만 43조6000억"
2022.1.6,"삼성전자, 지난해 매출 280조 '역대 최고'…반도체 호황(종합)"
2022.1.6,"삼성전자, 지난해 반도체 매출만 ‘94조원’… 인텔 꺾고 세계 1위 탈환"
2022.1.6,"삼성전자, 작년 279조 '역대 최대 매출'…영업익 43% 급증 [상보]"
2022.1.6,"삼성전자, 지난해 반도체 매출 94조…인텔 제치고 1위 탈환"
2022.1.6,"""지난해 분기마다 최대 매출"" 반도체가 이끈 삼성전자 외형성장(상보)"
2022.1.6,"삼성전자, 작년 매출 279조 ‘역대 최대’…반도체 맹활약"
2022.1.6,"삼성전자, 역대 최대 실적…지난해 매출액 279조, 영업익 51조원"
2022.1.6,[삼성전자 실적] 폴더블폰 흥행 효과…모바일 영업익 2.7조
2022.1.6,삼성전자 “올해도 친환경 선도로 ESG 경영 지속 강화”
2022.1.6,삼성전자 “메모리 불확실성 상존..고성능 제품 공급 확대로 대응”
2022.1.6,삼성전자 4분기 사상 최대 매출…반도체·스마트폰·TV 모두 웃었다
2022.1.6,"삼성전자, 지난해 역대 최대 매출 실적에도 주가 '주르륵'"
2022.1.6,"반도체 날고 스마트폰 뛰고… 삼성전자, 작년 매출 279.6조 ‘신기록’(종합)"
2022.1.6,"삼성전자, '21년 매출 279.6조...역대 최대"
2022.1.6,"삼성전자, 지난해 영업익 51조6339억…전년비 43.5% ↑"
2022.1.6,[그래픽] 삼성전자 실적 추이
2022.1.6,"인텔 꺾은 1등 삼성전자, 지난해 반도체서만 영업익 29조 거뒀다"
2022.1.6,"삼성전자, 지난해 시설투자 48.2조…반도체에만 43.6조"
2022.1.6,"삼성전자, 지난해 시설투자 48조2천억...반도체 43조6천억"
2022.1.6,"삼성전자 작년 매출 280조, 영업익 52조 ""역대 최대 경신""(종합)"
2022.1.6,삼성전자 작년 영업이익 51조6천억 원...43.5%↑
2022.1.6,"[2보] 삼성전자, 작년 반도체 매출 94조원…인텔 제치고 1위"
2022.1.6,"삼성전자, 매출 279조 ‘역대 최대’…네이버도 분기 신기록"
2022.1.6,"삼성전자 ""올해 파운드리 평균 초과 성장 목표…LCD 생산 종료"""
2022.1.6,"[삼성전자 실적] 반도체의 힘…삼성전자, 작년 매출 279.6조 '사상최대'"
2022.1.6,"삼성전자, 올해도 친환경 활동 지속…""ESG 경영 강화할 것"""
2022.1.6,"삼성전자, 지난해 매출 279.6조원… 사상 최대(상보)"
2022.1.6,삼성전자 작년 시설투자 48.2조 '역대 최대'
2022.1.6,"삼성전자, 작년 시설투자 48.2조..반도체만 43.6조"
2022.1.6,"삼성전자, 지난해 영업이익 51조6339억원…전년比 43.5%↑"
2022.1.6,삼성전자 역대 최고 매출 기록 썼다… 작년 매출 279조원(상보)
2022.1.6,"[속보] 삼성전자, 보통주 361원·우선주 362원 결산배당"
2022.1.6,"삼성전자, 지난해 시설투자 48조2000억…반도체만 43조6000억"
2022.1.6,"삼성전자, 결산배당…보통주 1주당 361원"
2022.1.6,[속보] 삼성전자 지난해 영업익 51.6조…전년比 43.5%↑
2022.1.6,삼성전자 작년 매출 279조 '사상 최대'…성장정체 벽 깼다
2022.1.6,"[속보] 삼성전자 ""지난해 시설투자 48.2조…반도체 43.6조·DP 2.6조"""
2022.1.6,"삼성전자, 보통주 361원·우선주 362원 현금배당 결정"
2022.1.6,"[속보] 삼성전자, 지난해 반도체 영업익 29조2000억…전년比 55.2%↑"
2022.1.6,"[속보] 삼성전자, 지난해 스마트폰 부문 매출 109조원...전년比 10%↑"
2022.1.6,[속보] 삼성전자 CE부문 작년 매출 55.8조·영업익 3.7조
2022.1.6,[속보] 삼성전자 작년 영업이익 43.5% 증가
2022.1.6,"삼성전자, 지난해 시설투자액 48.2조원…반도체에만 43.6조"
2022.1.6,"[속보]삼성전자, 1주당 361원 배당…배당률 0.5%"
2022.1.6,[속보] 삼성전자 DS부문 작년 매출 125.1조·영업익 33.7조
2022.1.6,"[속보]삼성전자, 지난해 영업익 51조6339억원…전년比 43.45%↑"
2022.1.6,삼성전자 지난해 영업이익 51조6천339억 원…전년 대비 43.5%↑
2022.1.6,삼성전자 매출 76.6조 '사상 최대'…영업이익도 43.5%↑
2022.1.6,"삼성전자, 작년 사상 최대 실적…1등 공신은 '반도체'"
2022.1.6,[속보]삼성전자 반도체 매출 94조1600억 '역대 최대'
2022.1.6,"[속보] 삼성전자, 지난해 반도체 영업익 29조2000억… 55.3%↑"
2022.1.6,"삼성전자, 4분기 영업익 13조8668억…전년비 53.3% ↑"
2022.1.6,"[속보] 삼성전자, 지난해 영업익 51조6339억…반도체가 29조2천억"
2022.1.6,"[속보] 삼성전자, 작년 매출 279조…연간 최대 매출 신기록"
2022.1.6,"삼성전자, 작년 시설투자 48.2조원…메모리 투자 전년比 증가"
2022.1.6,삼성전자 분기배당…주당 보통주 361원·종류주 362원
2022.1.6,"[속보] 삼성전자, 지난해 4·4분기 영업익 13조8668억..전년比 53.2%↑"
2022.1.6,"삼성전자, 작년 반도체 매출 94조 원…인텔 제치고 1위"
2022.1.6,"[속보] 삼성전자, 지난해 영업이익 51조6339억원…전년비 43.5%↑"
2022.1.6,"[속보] 삼성전자, 작년 영업이익 51조6339억원…전년比 43%↑"
2022.1.6,"[속보] 삼성전자, 지난해 영업이익 51조6300억 원…전년比 43.5%↑"
2022.1.6,"[속보] 삼성전자, 지난해 영업이익 51조6339억…전년比 43.5%↑"
2022.1.6,[속보] 삼성전자 작년 시설 투자 48조2천억원
2022.1.6,[속보] 삼성전자 작년 4분기 반도체 영업이익 8조8천400억원
2022.1.6,"[속보] 삼성전자, 주당 361원 배당…배당율 0.5%"
2022.1.6,"삼성전자, 지난해 영업이익 51조6339억원…전년 대비 43.5%↑"
2022.1.6,"[속보] 삼성전자, 지난해 영업익 51.6조…전년比 43.5%↑"
2022.1.6,삼성전자 작년 영업이익 51조6천339억원…전년 대비 43.5%↑
2022.1.6,[속보]삼성전자 작년 매출 279조 '사상최대'…영업익 51.6조
2022.1.6,[속보] 삼성전자 지난해 영업익 51조6339억원...전년 대비 43.5%↑
