날짜,뉴스제목
2022.1.2,Minister Lim Hye-sook visited Samsung Electronics' semiconductor field
2022.1.2,Minister Lim Hye-sook visited Samsung Electronics Hwaseong Campus
2022.1.2,Minister Lim Hye-sook visits Samsung Electronics' semiconductor field
2022.1.2,The stock I'm going to give as a gift for the New Year's gift...Samsung Electronics and Kia
2022.1.2,"Minister of Science and Technology visited Samsung Electronics...""Using national capabilities to compete for semiconductor technology"""
2022.1.2,[Special stock] Samsung Electronics rose 2.8% even if 1.6 million foreign shares were sold
2022.1.2,Samsung Electronics is recruiting experienced workers in the semiconductor sector
2022.1.2,"[Special stock] DKT emphasizes ""popularization of foldable phones this year"" of Samsung Electronics. FPCA delivery highlights"
2022.1.2,"""The bottom line of profits in the first quarter...""Samsung Electronics is going to go for 120,000 won this year."""
2022.1.2,"Stock market, Samsung Electronics' target stock price is maintained...""The bottom line is profits in the first quarter"
2022.1.3,"Minister of Science and Technology visits Samsung Electronics, ""All national capabilities are mobilized for the superiority of semiconductor technology."""
2022.1.3,Minister of Science and Technology visits Samsung Electronics' Hwaseong campus...Seeking Industry-Academic Cooperation
2022.1.3,Samsung Electronics will achieve its highest performance ever this year - DB
2022.1.3,"""Samsung Electronics' sales are expected to be 324 trillion won and operating profit is expected to be 57 trillion won this year."""
2022.1.3,What is the price of Samsung Electronics' next-generation smartphone 'Galaxy S22'?
2022.1.3,"Shinhan Investment Corp. said, ""Samsung Electronics is entering an upward trend in EPS prospects...""It's hard for stock prices to fall further."""
2022.1.3,Samsung Electronics' Short-term Stock Price Direction...Sensitive to macro-environment rather than industry-future
2022.1.3,"Samsung Electronics' biggest sales in the fourth quarter...This year, more than non-memory, memory-KTB"
2022.1.3,"U.S. Broadcom caught abusing its power over Samsung Electronics...Fair Trade Commission's ""Withdrawal"". Is that right?"
2022.1.3,Samsung Electronics expects to improve memory supply and demand through conservative investment-NH
2022.1.3,"[Dr. Kim Dae-ho's business, people] LG Ensol, LG Electronics, Samsung Electronics, Samsung SDI, Naver, and Te..."
2022.1.3,Samsung Electronics expects performance on the possibility of an early rebound in memory prices
2022.1.3,Samsung Electronics' short-term stock price is more sensitive to macros than the semiconductor industry - Future
2022.1.3,"[Click e-stock] ""Samsung Electronics expects to double its non-memory business profit this year."""
2022.1.3,"Samsung Electronics' biggest sales ever through COVID-19... Semiconductor's ""first contributor."""
2022.1.3,"""Overuse of power over Samsung Electronics""... FTC launches sanctions on U.S. semiconductor company Broadcom"
2022.1.3,"Samsung Electronics is writing a new history...""This year's sales are 306 trillion won."" The forecast went up again"
2022.1.3,"Samsung Electronics, which bowed its head despite its record-high performance... What's your future plan?"
2022.1.3,Samsung Electronics overtook Intel to regain the world's No. 1 in semiconductor sales for the first time in three years
2022.1.3,Samsung Electronics' highest sales ever...recapture of the 'semiconductor throne' for the first time in three years (comprehensive 2 steps)
2022.1.3,Samsung Electronics' 279.6 trillion won sales record exceeds 300 trillion won this year
2022.1.3,"Samsung Electronics, which has semiconductor wings... Will we open an era of 300 trillion won in sales this year?"
2022.1.3,Samsung Electronics Returns to World's No. 1 Semiconductor in 3 Years
2022.1.3,"FTC launches sanctions on Broadcom, a U.S. semiconductor company that ""abuse of power over Samsung Electronics"""
2022.1.3,FTC launches sanctions on semiconductor company Broadcom for allegedly abusing power over Samsung Electronics
2022.1.3,"Samsung Electronics, LG Electronics, LG Electronics, LG Electronics, LG Electronics, LG Electronics, LG Electronics and 1st place"
2022.1.3,Pension funds that only LG Ensol bought 2 trillion won...They even sold Samsung Electronics
2022.1.3,"FTC launches sanctions on Broadcom, a U.S. semiconductor company that ""abuse of power over Samsung Electronics"""
2022.1.3,"Samsung Electronics, which is on the throne of semiconductors, is recruiting experienced semiconductor workers"
2022.1.3,"Samsung's semiconductor sales alone are 94 trillion won... Samsung Electronics is the world's No. 1 semiconductor company, beating Intel"
2022.1.3,Power trip to Samsung Electronics?The U.S. government pulled a knife on a semiconductor company
2022.1.3,Samsung Electronics is opening sales of semiconductors in the era of 100 trillion won this year
2022.1.3,While using power over Samsung Electronics... The U.S. firm that was caught by the FTC
2022.1.3,Fair Trade Commission launches U.S. Broadcom sanctions over alleged power abuse against Samsung Electronics
2022.1.3,"Despite Samsung Electronics' all-time earnings, its stock price has faded...There's no special dividend. 70,000 Electronics is at stake"
2022.1.3,The power of 'expanding the Galaxy ecosystem'...Samsung Electronics has returned to 100 trillion won in annual mobile sales
2022.1.3,Samsung Electronics. This year's '300/60 Club' Jung Jo-joon...Semiconductor facility investment alone is likely to exceed 50 trillion won
2022.1.3,"FTC launches sanctions on Broadcom, a U.S. semiconductor company that ""abuse of power over Samsung Electronics"""
2022.1.3,"The FTC is about to impose sanctions on Broadcom, which forced Samsung Electronics to sign a long-term contract"
2022.1.3,"FTC launches sanctions on Broadcom, a U.S. semiconductor company that ""Samsung Electronics overuse of power"""
2022.1.3,"""Exclusive contract with Samsung Electronics""...FTC launches U.S. 'Broadcom' sanctions"
2022.1.3,Re-invest 70% of the money you earned from the memory... [Samsung Electronics' Peninsula...] I'm tightening the reins of TSMC's pursuit.
2022.1.3,A foldable phone with wings... Samsung Electronics' sales recovered by 100 trillion won. [Samsung Electronics' semiconductor world...]
2022.1.3,"Samsung Electronics' semiconductor, which has become the ""global No. 1,"" is competing for talent"
2022.1.3,"Samsung Electronics, which used its best performance, ""This year is a war against uncertainty."""
2022.1.3,Samsung Electronics' cash dividend of 361 won per share of common stock...2.4 trillion won worth
2022.1.3,Minister Kwon Chil-seung visits Samsung Electronics' Hwaseong campus
2022.1.3,Samsung Electronics' DS division hires experienced workers in the semiconductor sector
2022.1.3,Minister Kwon Chil-seung speaks at Samsung Electronics Hwaseong Campus
2022.1.3,Minister Kwon Chil-seung takes a photo to commemorate his visit to Samsung Electronics' Hwaseong campus
2022.1.3,"(Video) Samsung Electronics ""Conservative cash management is required""...Strengthening shareholder returns 'not yet'"
2022.1.3,Samsung Electronics is recruiting experienced semiconductor workers by the 17th of next month
2022.1.3,"""Semiconductor Power""...Samsung Electronics' sales exceed 300 trillion won this year (comprehensive)"
2022.1.3,Samsung Electronics sold 94 trillion won in semiconductor sales last year.U.S. wins first place over Intel
2022.1.3,Samsung Electronics' sales last year were the highest ever...Semiconductor beat Intel to win first place
2022.1.3,"""Galaxy is a good son""... Samsung Electronics re-enters 100 trillion won in sales with 'foldable phones'"
2022.1.3,Samsung Electronics recovered 100 trillion won in annual sales with 'foldable phone wings' (comprehensive 2 steps)
2022.1.3,"Samsung Electronics, which has risen to the ""world's No. 1 semiconductor industry,"" is hiring experienced workers in the DS sector"
2022.1.3,Samsung Electronics Launches Portable Screen 'The Freestyle'...The store price is 1.19 million won
2022.1.3,"Samsung Electronics, which has surpassed Intel as the No. 1 semiconductor sales, is hiring experienced workers in the semiconductor sector"
2022.1.3,"[Living economy] ""Samsung Electronics' sales are the highest in last year's history, and its stock price is falling."""
2022.1.3,Samsung Electronics overtook Intel for the first time in three years and returned to 'No. 1 in semiconductors'
2022.1.3,"Samsung Electronics, which wrote the No. 1 'record' in semiconductors...Sales surpassing 300 trillion won is also 'in front of the eyes' (comprehensive 2)"
2022.1.3,"""Again, the highest performance ever"" Samsung Electronics' stock price is still 'unrealistic'... Why?"
2022.1.3,"Samsung Electronics' ""No. 1 treatment in the industry"" is hiring experienced semiconductor workers...the spark of competition for talent"
2022.1.3,"Samsung Electronics, the No. 1 global semiconductor company, will open an era of 300 trillion won in annual sales this year"
2022.1.3,"Samsung Electronics, the No. 1 global semiconductor company, will open an era of 300 trillion won in annual sales this year"
2022.1.3,Samsung Electronics Launches Portable Screen 'The Freestyle' in Korea
2022.1.3,"Samsung Electronics, which has risen to No. 1 in semiconductors...$107.3 billion in brand value this year"
2022.1.3,"Samsung Electronics is looking for opportunities by popularizing 5G.""Enhanced all Galaxy models"""
2022.1.3,"Samsung Electronics' semiconductor, which achieved ""world's No. 1 in sales,"" is hiring experienced workers"
2022.1.3,'New sales record' Samsung Electronics is going to strengthen its leadership in semiconductors with a super-difference strategy
2022.1.3,Samsung Electronics is expected to achieve the top spot in semiconductors at the same time with its biggest performance this year (comprehensive)
2022.1.3,"Samsung Electronics said, ""This year's semiconductor investment plan was established in consideration of parts supply chain issues."""
2022.1.3,Samsung Electronics' biggest sales last year...Semiconductor also returned to first place
2022.1.3,"[Concall] Samsung Electronics said, ""Refrain from excessive memory sales due to supply chain issues and cyanide closure."""
2022.1.3,Samsung Electronics sold 94 trillion won in semiconductors last year
2022.1.4,Samsung Electronics sold 94 trillion won in semiconductor sales last year.U.S. wins
2022.1.4,Samsung Electronics sold 94 trillion won in semiconductors last year
2022.1.4,Samsung Electronics beat Intel in semiconductor sales last year
2022.1.4,Samsung Electronics beat Intel in semiconductor sales last year
2022.1.4,Samsung Electronics sold 94 trillion won in semiconductor sales last year.U.S. wins
2022.1.4,Samsung Electronics sold 94 trillion won in semiconductor sales last year.U.S. wins
2022.1.4,Samsung Electronics beat Intel in semiconductor sales last year
2022.1.4,"[Concall] Samsung Electronics said, ""Investment is executed in consideration of parts supply chain issues this year."""
2022.1.4,Samsung Electronics sold 94 trillion won in semiconductors last year
2022.1.4,Samsung Electronics' record-high sales of 280 trillion won last year
2022.1.4,Samsung Electronics achieved record-high performance
2022.1.4,Samsung Electronics Reaches Its Highest Performance
2022.1.4,Samsung Electronics Reaches Record-high Performance
2022.1.4,Samsung Electronics recorded the highest sales of 280 trillion won last year
2022.1.4,Samsung Electronics' record-high sales of 280 trillion won last year
2022.1.4,Samsung Electronics achieved record-high performance
2022.1.4,Samsung Electronics posted record-high sales of 280 trillion won last year
2022.1.4,Samsung Electronics Reaches Record-high Performance
2022.1.4,Samsung Electronics Reaches Record-high Performance Last Year
2022.1.4,Samsung Electronics' record-high sales of 280 trillion won last year
2022.1.4,"[Concalls] Samsung Electronics said, ""Stabilize DRAM prices...""It can rebound."""
2022.1.4,"[Concall] Samsung Electronics said, ""QD yield will be competitive at the end of the year."""
2022.1.4,"[Concall] Samsung Electronics said, ""The process of the foundry fleet is delayed than the stable yield plan...""Example of gradual improvement..."
2022.1.4,"[Concall] Samsung Electronics said, ""There is external uncertainty, but we expect strong demand for memory semiconductors."""
2022.1.4,"[Concall] Samsung Electronics said, ""The risk of increasing household appliances, materials, and logistics costs continues."""
2022.1.4,"[Concall] Samsung Electronics said, ""QD display will have a competitive yield at the end of this year."""
2022.1.4,"""It was worth a special bonus"". Samsung Electronics' semiconductors drive record sales last year"
2022.1.4,Samsung Electronics beats Intel to rank first in semiconductor sales
2022.1.4,Minister Kwon Chil-seung visits Samsung Electronics Foundry...Promoting Fabless Win-Win Cooperation
2022.1.4,"Samsung Electronics sold 94 trillion won in semiconductor sales last year.""No.1 in the world"" over Intel"
2022.1.4,"[Concall] Samsung Electronics said, ""Conservative cash management is needed….""It is difficult to make a big change in the shareholder return policy."""
2022.1.4,"Minister Kwon Chil-seung visited Samsung Electronics, ""We need cooperation between fabless and foundry companies."""
2022.1.4,"Samsung Electronics, TSMC, and Intel counterattack cards 'Hesitant' to regain the No. 1 position in semiconductor"
2022.1.4,"[Concall] Samsung Electronics said, ""5G smartphones are growing rapidly...""Build a full line-up"""
2022.1.4,"[Concall] Samsung Electronics said, ""QD display will have a competitive yield at the end of the year."""
2022.1.4,"Samsung Electronics said, ""Focusing on foundry capabilities...""Promotion to secure early yield of the fleet process"""
2022.1.4,[Special stock] Samsung Electronics is in the 2% range despite its record high performance ↓
2022.1.4,"[IR] Samsung Electronics said, ""We are securing a competitive advantage for 5th generation V-NANDERS."""
2022.1.4,"[Concall] Samsung Electronics said, ""QD display yield will rise enough to become competitive by the end of the year."""
2022.1.4,"Samsung Electronics said, ""QD Display will have a competitive yield at the end of this year."""
2022.1.4,"Samsung Electronics said, ""QD-D will be competitive in yield by the end of the year….""The customer's response is good."""
2022.1.4,"[Concall] Samsung Electronics said, ""D-RAM prices rebound, possible scenarios."""
2022.1.4,"[Concall] Samsung Electronics said, ""The burden of logistics costs will continue this year...""Increase supply competitiveness"""
2022.1.4,Samsung Electronics' semiconductor sales are the 'biggest ever.What's your outlook for next year?
2022.1.4,"[Concall] Samsung Electronics is expected to lack supply of 1Q foundry process...DRAM Improvement Signal Observation"""
2022.1.4,"[Concall] Samsung Electronics said, ""Conservative cash management is needed….""It is difficult to make a big change in the shareholder return policy."""
2022.1.4,"Samsung Electronics fell by 1% despite its biggest sales ever.""70,000 electrons."" It's dangerous"
2022.1.4,"""QD displays, products with strength...""Yield will rise at the end of the year"" - Samsung Electronics Concall"
2022.1.4,Samsung Electronics' sales of 279 trillion won...It was the highest-ever performance
2022.1.4,"Samsung Electronics said, ""We expect strong demand for server and mobile-oriented memory this year."""
2022.1.4,"[IR] Samsung Electronics said, ""We are maintaining leadership in foundry high-tech technology."""
2022.1.4,"Samsung Electronics said, ""Home appliance cost risk continues…Preemptive response"""
2022.1.5,"Samsung Electronics' sales last year were the ""biggest ever""...Semiconductor is a good son"
2022.1.5,"[IR] Samsung Electronics said, ""QD display will have a competitive yield at the end of the year."""
2022.1.5,"[IR] Samsung Electronics said, ""D-RAM prices are expected to rebound in the future…""Strong demand for servers and mobile devices"""
2022.1.5,"[Concall] Samsung Electronics said, ""Considering supply chain issues, refrain from excessive sales expansion of DRAM and NAND."""
2022.1.5,"""Memory cycle reduction is clearly detected.Market Stabilization"" - Samsung Electronics Concall"
2022.1.5,"[Concall] Samsung Electronics said, ""Expanding sales of the Z series...""""Foldable phone trend cruising"""
2022.1.5,"[Concall] Samsung Electronics said, ""Investment in semiconductors, maintain the existing stance, but continue to discuss it."""
2022.1.5,"[Concall] Samsung Electronics' ""D-RAM BitGross in the first quarter, falling in the early single digits."""
2022.1.5,[Graphic] Performance by Samsung Electronics' business division
2022.1.5,"Samsung Electronics said, ""Memory investment is maintained…Global uncertainty requires conservative cash management."""
2022.1.5,"[Concall] Samsung Electronics said, ""We sold 72 million 4Q smartphones last year...ASP 303,300 won..."
2022.1.5,Samsung Electronics' new sales record of 279 trillion won
2022.1.5,[IR] Samsung Electronics predicted memory semiconductor shipments in the fourth quarter of last year due to global supply chain issues.
2022.1.5,Samsung Electronics recorded the largest sales in the aftermath of COVID-19
2022.1.5,Samsung Electronics recorded the largest sales due to booming semiconductors and foldable phones
2022.1.5,"[Concall] Samsung Electronics said, ""This year's investment in semiconductors is planned in consideration of uncertainty."""
2022.1.5,"[Concall] Samsung Electronics said, ""We are discussing plans for semiconductor facility investment...There's a variety of uncertainties"
2022.1.5,"Samsung Electronics' operating profit surpassed 50 trillion won, and 'semiconductors account for half of it.'"
2022.1.5,Samsung Electronics' sales record is 279 trillion won. A good son is definitely a semiconductor
2022.1.5,"""Memory facility investment last year, up from the previous year"" - Samsung Electronics' concall"
2022.1.5,"[Concall] Samsung Electronics said, ""Continues cost risk this year...""Overcoming Market Change Lead"""
2022.1.5,Samsung Electronics' new sales record of 279 trillion won...Operating profit also exceeded 50 trillion won
2022.1.5,The background of Samsung Electronics' biggest sales in history is...Semiconductor and mobile are 'good sons'
2022.1.5,"Samsung Electronics said, ""The risk of increasing logistics costs continues this year...Accelerate sales growth with new models"""
2022.1.5,"[IR] Samsung Electronics said, ""There is no problem in responding to demand for memory semiconductor clean rooms."""
2022.1.5,"""Dram Bitgross and ASP decreased in the middle of single digits in the fourth quarter of last year."" - Samsung Electronics Concall"
2022.1.5,"[Concall] Samsung Electronics' ""Improvement of server and PC focus despite uncertainty in Q DRAM"""
2022.1.5,"[IR] Samsung Electronics said, ""Last year's memory investment, last year's 比 increase…""The proportion of facility investment is high."""
2022.1.5,Samsung Electronics Launches Portable Screen 'The Freestyle' in Korea
2022.1.5,"[Concall] Samsung Electronics said, ""We sold 72 million smartphones in the fourth quarter...""Unit price increase in Q1"""
2022.1.5,Samsung Electronics Launches Portable Screen 'The Freestyle' in Korea
2022.1.5,"Samsung Electronics said, ""The guidance decreased in the middle of the fourth quarter of last year."""
2022.1.5,"Samsung Electronics, which beat Intel, is also expected to cruise in the semiconductor and home appliances sectors this year"
2022.1.5,Samsung Electronics officially launches portable screen 'The Freestyle' in Korea
2022.1.5,Samsung Electronics launches portable screen 'The Freestyle' in Korea
2022.1.5,Samsung Electronics has decided to pay 2.4 trillion won in cash dividends...361 won per share of common stock
2022.1.5,"[Concall] Samsung Electronics said, ""72 million mobile phones and 7 million tablets were sold in the fourth quarter."""
2022.1.5,"[IR] Samsung Electronics said, ""D-RAM Bitgross ASP decreased by mid-digit in the fourth quarter of last year."""
2022.1.5,"""The biggest performance ever"" Samsung Electronics...Intel beats Intel with 94 trillion won in semiconductor sales [comprehensive]"
2022.1.5,"[Concall] Samsung Electronics ""Expects a shortage of process supply before Q foundry"""
2022.1.5,"""There is uncertainty about DRAM in the first quarter, but it is expected to improve mainly on servers and PCs."" - Samsung Electronics' concall"
2022.1.5,"[IR] Samsung Electronics ""QD Display, Positive Response…Focus on securing leadership"""
2022.1.5,"[IR] Samsung Electronics said, ""The quality verification of the first generation of Foundry GAA process will be completed in the first half of the year."""
2022.1.5,Samsung Electronics Launches Portable Screen 'The Freestyle' in Korea
2022.1.5,"[Comprehensive] Samsung Electronics, which wrote a new history, flew thanks to semiconductors...Sales 'biggest ever'"
2022.1.5,"""In the first quarter of this year, the process is expected to be insufficient before the foundry."" - Samsung Electronics' concall"
2022.1.5,Samsung Electronics' dividend of 361 won per common stock...2.4 trillion won worth
2022.1.5,"""Life and death in technology leadership"" Samsung Electronics invested 48.2 trillion won in facilities last year.Semiconductors alone are 43.6 trillion won"
2022.1.5,"[IR] Samsung Electronics said, ""There is uncertainty about DRAM in the first quarter, but we observe improvement signals."""
2022.1.5,[Stock issue] Samsung Electronics rebounded last year's record-high sales and profits...What's the stock price?
2022.1.5,Samsung Electronics' dividend of 361 won per common stock...2.4 trillion won worth
2022.1.5,"[IR] Samsung Electronics said, ""Demand for NAND flash is somewhat stagnant in the fourth quarter of last year."""
2022.1.5,Samsung Electronics recorded 279.6 trillion won in sales last year.94 trillion won in semiconductors alone
2022.1.5,Samsung Electronics fell in the 1% range despite its good performance.It's 7.2K won
2022.1.5,Samsung Electronics beat Intel to become the world's No. 1 semiconductor maker.Last year's highest performance (comprehensive) in a booming economy
2022.1.5,"[IR] Samsung Electronics said, ""Last year's surplus cash flow was 19.5 trillion won...""Early return is difficult"""
2022.1.5,Samsung Electronics' record sales last year...Semiconductor overtook Intel to regain No. 1 in the world
2022.1.5,Samsung Electronics decided to pay 361 won in cash dividends per share of common stock
2022.1.5,Samsung Electronics beat Intel to become the world's No. 1 with 94 trillion won in semiconductor sales last year (comprehensive)
2022.1.5,"""Foldable Phone"" is a big hit...Samsung Electronics' smartphone '100 trillion won in sales' recovered"
2022.1.5,"Samsung Electronics' ""Kim"" missing dividend, 70,000 electronics are also at stake"
2022.1.5,[Samsung Electronics' performance] Display's operating profit of 4.4 trillion won last year...It's twice as big
2022.1.5,[Samsung Electronics' performance] Sales of semiconductors 94 trillion won...1st place in the world after beating Intel
2022.1.5,"""It's going to be 300 trillion won this year.""Samsung Electronics did well in business, the largest sales since its inception"
2022.1.5,Samsung Electronics' new sales record of 279 trillion won written by semiconductors...Operating profit also exceeded 50 trillion won (comprehensive)
2022.1.5,"[IR] Samsung Electronics said, ""Memory semiconductor performance in the fourth quarter of last year has improved significantly compared to the previous year."""
2022.1.5,Samsung Electronics topped Intel in semiconductor sales last year
2022.1.5,Samsung Electronics sold 94 trillion won in semiconductors last year alone.Intel beat (complement)
2022.1.5,"Samsung Electronics, which has set an all-time record...279 trillion won in sales and 51 trillion won in operating profit last year"
2022.1.5,Samsung Electronics' 'highest quarterly sales' in the fourth quarter...Annual sales are also the highest ever
2022.1.5,[Table] Samsung Electronics' quarterly sales and operating profit from 2012 to 2021
2022.1.5,"""Dragging semiconductors and pushing home appliances and smartphones""...Samsung Electronics' biggest sales ever last year (comprehensive)"
2022.1.5,Samsung Electronics topped Intel with 94 trillion won in semiconductor sales last year
2022.1.5,Samsung Electronics sold 94 trillion won in semiconductor sales last year.U.S. wins first place over Intel (Overall)
2022.1.5,Samsung Electronics sold 279 trillion won last year.an all-time high
2022.1.5,Samsung Electronics' biggest sales last year...Semiconductor overtook Intel to regain first place
2022.1.5,"[Special stock] Russell, Samsung Electronics, Hyundai Motor's robot business investment... Strong on the news of explosive growth"
2022.1.5,"[Samsung Electronics' performance] Home appliance sales, 'quarter-high' due to strong premium products"
2022.1.5,Samsung Electronics' filial son is definitely a semiconductor...Last year's operating profit of 29.2 trillion 'over half of the share'
2022.1.5,Samsung Electronics beat Intel to become the world's No. 1 with 94 trillion won in semiconductor sales last year
2022.1.5,Samsung Electronics' 2.4 trillion won cash dividend...361 won per share of common stock
2022.1.6,Samsung Electronics invested 48.2 trillion won in facilities last year.Semiconductors alone are 43.6 trillion won
2022.1.6,"Samsung Electronics' sales of 280 trillion won last year are ""the best ever""...Semiconductor boom (comprehensive)"
2022.1.6,Samsung Electronics' sales of semiconductors alone last year were '94 trillion won'... Defeat Intel and regain No. 1 in the world
2022.1.6,Samsung Electronics' Article 279 of last year's 'biggest sales ever'...Operating profit surged 43% [complementary]
2022.1.6,Samsung Electronics sold 94 trillion won in semiconductor sales last year.Reaching 1st place over Intel
2022.1.6,"Samsung Electronics' external growth led by semiconductors, ""the biggest sales every quarter of last year"" (complementary)"
2022.1.6,"Samsung Electronics' sales of 279 trillion won last year, the largest ever...Semiconductor's"
2022.1.6,Samsung Electronics' biggest performance ever...Last year's sales were 279 trillion won and operating profit was 51 trillion won
2022.1.6,[Samsung Electronics' performance] Foldable phone box office effect...Mobile operating profit of 2.7 trillion
2022.1.6,"Samsung Electronics said, ""This year, we will continue to strengthen ESG management with eco-friendly leadership."""
2022.1.6,"Samsung Electronics said, ""Memory uncertainty exists...""Respond with increased supply of high-performance products"""
2022.1.6,"Samsung Electronics' record sales in the fourth quarter...Semiconductors, smartphones, and TVs all laughed"
2022.1.6,"Samsung Electronics' stock price is ""splash"" despite its record-high sales performance last year"
2022.1.6,Flying semiconductors and running smartphones... Samsung Electronics' 279.6 trillion won in sales last year 'new record' (comprehensive)
2022.1.6,Samsung Electronics' sales in 2021 are 279.6 trillion won...the biggest ever
2022.1.6,Samsung Electronics' operating profit last year was 51.63 trillion won.43.5% year-on-year ↑
2022.1.6,[Graphic] Samsung Electronics' performance trends
2022.1.6,"Samsung Electronics, which beat Intel, made 29 trillion won in operating profit in semiconductors alone last year"
2022.1.6,"Last year, Samsung Electronics invested 48.2 trillion won in facilities.43.6 trillion won for semiconductors alone"
2022.1.6,Samsung Electronics invested 48.2 trillion won in facilities last year.43.6 trillion won in semiconductors
2022.1.6,"Samsung Electronics' sales of 280 trillion won and operating profit of 52 trillion won last year ""the biggest break ever"" (comprehensive)"
2022.1.6,Samsung Electronics' operating profit last year was 51.6 trillion won...43.5%↑
2022.1.6,"[2nd step] Samsung Electronics sold 94 trillion won in semiconductor sales last year.1st place, beating Intel"
2022.1.6,"Samsung Electronics has 279 trillion won in sales, the largest ever...Naver also has a new quarterly record"
2022.1.6,"Samsung Electronics said, ""This year's foundry average growth target is...LCD Production End"""
2022.1.6,"[Samsung Electronics' performance] The power of semiconductors...Samsung Electronics' sales last year were 279.6 trillion won, the highest ever"
2022.1.6,"Samsung Electronics continues eco-friendly activities this year...""We will strengthen ESG management."""
2022.1.6,Samsung Electronics sold 279.6 trillion won in sales last year. Highest ever (complementary)
2022.1.6,Samsung Electronics' facility investment of 48.2 trillion won last year is the largest ever
2022.1.6,"Last year, Samsung Electronics invested 48.2 trillion won in facilities.43.6 trillion won in semiconductors alone"
2022.1.6,Samsung Electronics' operating profit last year was 51.6339 trillion won.Year before 比 43.5% ↑
2022.1.6,Samsung Electronics recorded the highest sales record ever... Last year's sales of KRW 279 trillion (complementary)
2022.1.6,[Breaking news] Samsung Electronics' settlement dividend of 361 won for common shares and 362 won for preferred shares
2022.1.6,Samsung Electronics invested 48.2 trillion won in facilities last year.Semiconductors alone are 43.6 trillion won
2022.1.6,"Samsung Electronics Co., Ltd. Payments for settlement of accounts...361 won per share of common stock"
2022.1.6,[Breaking news] Samsung Electronics' operating profit of 51.6 trillion won last year...Year before 比 43.5% ↑
2022.1.6,"Samsung Electronics' sales of 279 trillion won last year are ""the largest ever""...The growth stagnation broke the wall"
2022.1.6,"[Breaking news] Samsung Electronics said, ""Facility investment last year is 48.2 trillion won...43.6 trillion won in semiconductors and 2.6 trillion won in DP"""
2022.1.6,Samsung Electronics decided to pay cash dividends of 361 won for common shares and 362 won for preferred shares
2022.1.6,[Breaking news] Samsung Electronics made 29.2 trillion won in semiconductor operating profit last year.Year before 比 55.2% ↑
2022.1.6,[Breaking news] Samsung Electronics sold 109 trillion won in smartphone sales last year.Last year 比 10% ↑
2022.1.6,"[Breaking news] Last year, Samsung Electronics' CE division recorded 55.8 trillion won in sales and 3.7 trillion won in operating profit"
2022.1.6,[Breaking news] Samsung Electronics' operating profit increased 43.5% last year
2022.1.6,Samsung Electronics invested 48.2 trillion won in facilities last year.43.6 trillion won for semiconductors alone
2022.1.6,[Breaking news] Samsung Electronics' dividend of 361 won per share...a dividend rate of 0.5%
2022.1.6,[Breaking news] Samsung Electronics' DS division's sales of 125.1 trillion won and operating profit of 33.7 trillion won last year
2022.1.6,[Breaking news] Samsung Electronics' operating profit last year was 51.63 trillion won...Year before 比 43.45% ↑
2022.1.6,Samsung Electronics' operating profit last year was 51.6339 trillion won.43.5% year-on-year ↑
2022.1.6,"Samsung Electronics' sales of 76.6 trillion won, ""the highest ever""...Operating profit is 43.5% ↑"
2022.1.6,"Samsung Electronics' record performance last year...First place contributor is ""Semiconductor."""
